UserId,Number,ResponseId,Intersection: 0 = common; 1 = unique,Common app name,Public Smart Apps,Trigger,Action,Trigger Devices,Trigger Capabilities,Trigger Conditions,Action Devices,Action Capabilities,Action Inputs,Trigger Variables,Action Variables,Extra Comment,Frequency,Weeks,Time,Schedule,Execution Indicator
6,45,r-3qkcsrg4psryx2c,1,,SmartBlock Notifier,in Home mode,setAirConditionerMode(auto),null,locationMode,location.mode == 'home',Air Conditioner,thermostat,thermostat1.auto(),home,auto,,FD,Anytime,17-20,Executed at random (e.g. |  every time I enter the room),"[[], [18, 19], [], [], [], [17], [17, 18], [18, 19], [], [18, 19], [], [], [], [17, 18, 19], [19], [19], [17, 18, 19], [], [], [], [], [], [17, 18], [], [], [], [17, 18], []]"
6,46,r-3qkcsrg4psryx2c,1,,SmartBlock Chat Sender,it's 12:00 a.m.,setMute(Audio_Player),Midnight,switch,t_switch1.switchState.getValue() == 'on',Audio Player,switch,switch1.off(),on,off,time == 1200,FD,Anytime,20-6,Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [12], [12], [12], [], [12], [12], [12], [12], [], [], [12], [12], [], [0], [12], [12], [], [], [12], [12], [12], [], [], [12], [], [], []]"
7,47,r-e5i5j0vocc4acet,0,CO2 Vent,SmartBlock Linker,carbonMonoxide value of CO Detector is > 0,execute alarm (both mode by default) |  call emergency services |  and alert me via phone notification,CO Detector,smoke,t_carbonMonoxideDetector1.carbonMonoxideState.getValue() =='detected',Phone && Security Alarm,notification && alarm,alarm1.strobe() && notify_phone()(),detected,notify-both,,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[0, 8, 9, 15, 16], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [5, 7, 10, 15, 18], [], [], [], [], [], [2, 23], [], [], [20], [6, 10, 19], [], []]"
7,48,r-e5i5j0vocc4acet,0,Keep Me Cozy,SmartBlock Manager,I leave my home,set temperature value of Thermostat to 79 degrees,null,locationMode,location.mode == 'away',Thermostat,thermostat,thermostat1.setHeatingSetpoint(79),away,heat,,MD,Weekday,"11,Jun",Executed at random (e.g. |  every time I enter the room),"[[6, 7, 8, 9], [], [7, 8, 9], [], [], [6, 7, 8, 9, 10], [], [6, 7, 8, 9, 10], [6, 7, 8, 9, 10], [6, 7, 8, 9, 10], [7, 8, 9, 10], [], [], [7, 8, 9], [6, 7, 8, 10], [6, 8, 9, 10], [6, 7, 9, 10], [], [6, 7, 8, 9, 10], [], [7, 8], [], [6, 7, 8, 9], [6, 7, 8], [], [8, 9, 10], [6, 7, 9, 10], []]"
7,49,r-e5i5j0vocc4acet,1,,Gideon,someone rings the Doorbell,alert me via house's Doorbell sound and via phone notification,Doorbell,switch,t_switch1.switchState.getValue() == 'on',Doorbell && Phone,notification && notification,notify_phone()(),on,notify-notify,,FW,Anytime,anytime,Manually-triggered (e.g. |  a button press),"[[], [], [], [], [], [], [], [], [], [], [], [], [], [3, 6, 12, 13], [], [], [], [], [], [], [], [], [], [], [], [], [9, 10, 23], []]"
7,50,r-e5i5j0vocc4acet,1,,Gideon Smart Home,it is morning and weather report shows no rain,switch Sprinkler on,Morning,switch,t_switch1.switchState.getValue() == 'on',Sprinkler,switch,switch1.on(),on,on,"time == ""morning"" && weather_station == ""no rain""",FD,Anytime,"11,Jun",Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [8, 9], [], [], [6, 7, 8, 9], [7, 8, 10], [], [6, 7, 8, 10], [], [6, 9], [10], [6, 8], [], [7, 9, 10], [6, 7, 9, 10], [], [9, 10], [], [6, 9], [6, 7, 9], [], [6, 7, 9, 10], [6, 8, 9], [6, 9, 10], [], [], [6, 7, 8, 9, 10], []]"
7,51,r-e5i5j0vocc4acet,0,Energy Alerts,Smart Humidifier,energy value of Energy Meter for any device is > average,alert me via phone notification,Energy Meter,energy,t_energyMeter1.energy > 5,Phone,notification,notify_phone()(),greater,notify,,FM,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [4], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
7,52,r-e5i5j0vocc4acet,0,Beacon Control,Humidity Alert!,I leave my home and Door Lock is unlocked,set Door Lock to lock,Door Lock && null,lock && locationMode,location.mode == 'away' && t_lock1.lock== 'unlocked',Door Lock,lock,lock1.lock(),unlocked-away,lock,,FM,Anytime,"6-11,17-20",Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [9], [], [], [], [], [], [], [], [], [11,20], [], [], [], [], [7], [], [], [], [], [], [], []]"
7,53,r-e5i5j0vocc4acet,1,,Working From Home,shock value of Glass Break Detector is true,toggle Security Camera on,Glass Break Detector,shock,t_shockSensor1.shock == 'detected',Security Camera,switch,switch1.on(),detected,on,,NS,Anytime,20-6,Executed at random (e.g. |  every time I enter the room),"[[], [], [0, 5, 22], [0, 1, 5, 22], [], [], [], [], [], [], [], [], [], [], [22, 23], [], [], [], [], [], [], [], [], [], [], [], [], [0, 1, 3]]"
7,54,r-e5i5j0vocc4acet,0,Cameras On When I'm Away,Smart turn it on,home is in Vacation mode,toggle Security Camera on AND set Security Alarm mode to both,null,locationMode,location.mode == 'vacation',Security Alarm && Security Camera,alarm && switch,switch1.on() && alarm1.strobe(),vacation,both-on,,NS,Weekend,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0, 2, 10, 19], [], [], []]"
7,55,r-e5i5j0vocc4acet,1,,Weather Underground PWS Connect,odorLevel value of Gas Sensor is > safe level,toggle alarm (both mode by default) |  call emergency services and alert me via phone notification,Gas Sensor,odorLevel,t_odorSensor1.odorLevel > 5,Phone && Security Alarm,notification && alarm,alarm1.strobe() && notify_phone()(),greater,notify-both,,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [], [], [], [], [], [], [1, 2, 11, 12], [], [], [6, 13, 20], [], [], [], [1, 4, 11, 12, 17], [], [], [], [], [], [], []]"
7,56,r-e5i5j0vocc4acet,0,Flood Alert!,Smart Home Ventilation,water value of Water Leak Detector is wet,toggle alarm (both mode by default) and alert me via phone notification,Water Leak Detector,water,t_waterSensor1.water == 'wet',Phone && Security Alarm,notification && alarm,alarm1.strobe() && notify_phone()(),wet,notify-both,,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [1, 14, 22], [], [], [], [], [11], [7, 15, 21], [], [], [3], [], [], [], [], [], [], [], [15, 17, 22], [], [], [2, 7, 10, 21], [], [], [7, 14, 15, 16, 19], [], [], [10, 19]]"
7,57,r-e5i5j0vocc4acet,1,,Talking Alarm Clock,machineState value of Clothes Dryer is Running AND temperature value of LaundryRoom_TemperatureSensor is > average temperature value,set machineState value of Clothes Dryer to Paused,Clothes Dryer && Temperature Sensor,dryerMode && temperature,t_temperatureMeasurement1.currentTemperature.toInteger() > 70,Clothes Dryer,dryerMode,switchLevel1.setLevel(2),fixed_state-greater,pause,MachineState,NS,Anytime,13-17,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [14, 15], [], [], [], [], [], [], [], [], [], [], [], [], [13], [], [], [], [], [], [], []]"
8,58,r-xbxggatwfo82tdz,0,It's Too Cold,Switch Activates Home Phrase,"the value of ""temperature"" is less than 70",Set the device Air Conditioner in heat mode AND set the device Water Heater to Switch On,Temperature Sensor,temperature,t_temperatureMeasurement1.currentTemperature.toInteger() < 70,Air Conditioner && Water Heater,thermostat && switch,thermostat1.heat() && switch1.on(),lesser,heat-on,,FD,Anytime,"17-20,20-6",Executed at random (e.g. |  every time I enter the room),"[[1, 19], [18, 21, 22], [18, 19, 22, 23], [4, 18, 19], [], [18, 20], [5, 18], [], [], [], [1, 17, 20], [19, 21], [], [], [], [5, 17, 18], [], [], [], [], [], [17, 23], [2, 17, 18, 23], [2, 19, 20], [2, 19, 21], [0, 2, 19], [0, 3, 17], [3, 17, 18, 20]]"
8,59,r-xbxggatwfo82tdz,1,,Switch Activates Home Phrase or Mode,"it is night and ""temperature"" of device ""Electric Blanket"" is less than 70",Switch on the Electric Blanket,Electric Blanket && Night,temperature && switch,t_temperatureMeasurement1.currentTemperature.toInteger() < 70,Electric Blanket,thermostat,thermostat1.heat(),lesser-on,on,"time == ""night"" &&",FD,Anytime,20-6,Executed at random (e.g. |  every time I enter the room),"[[], [1, 2, 22], [], [0, 1, 2, 20, 23], [1], [0, 4], [], [0, 1, 3], [], [4], [], [], [], [], [0, 2, 20], [], [], [], [0, 1, 2, 20], [], [1, 4, 21], [], [], [], [0, 20, 21, 22], [], [], []]"
8,60,r-xbxggatwfo82tdz,0,Notify Me With Hue,Switch Changes Mode,it is night and time is after 9PM,"set colorValue of device ""Light Bulb"" to Soft White",Night,switch,t_switch1.switchState.getValue() == 'on',Light Bulb,colorValue,colorControl1.setHue(25),on,fixed_number,"time == ""night"" && time > 2100",FD,Anytime,20-6,Scheduled-time (e.g. |  brew coffee at 7 am),"[[0, 3, 22], [5], [3, 22], [], [0, 1, 3, 5, 20], [2], [], [1, 3, 5], [20, 22], [], [], [0, 1, 2, 23], [], [], [0, 2, 22], [3, 20, 21], [5, 20], [3], [], [2, 20, 21, 22], [], [], [], [0, 22], [], [], [], []]"
8,61,r-xbxggatwfo82tdz,0,Notify Me With Hue,Color Coordinator,time is 6AM,set the device Light Bulb to switch off,Morning,switch,t_switch1.switchState.getValue() == 'on',Light Bulb,switch,switch1.off(),on,off,time == 600,FD,Anytime,"11,Jun",Scheduled-time (e.g. |  brew coffee at 7 am),"[[6], [6], [], [6], [6], [], [], [6], [], [6], [6], [], [], [], [6], [6], [], [6], [], [6], [6], [6], [6], [], [6], [], [], []]"
8,62,r-xbxggatwfo82tdz,0,Notify Me With Hue,Goodnight Ubi,time is 6PM,set the device Light Bulb  to switch on and set ColorValue of Device Light Bulb to Day White,Evening,switch,t_switch1.switchState.getValue() == 'on',Light Bulb,colorValue,switch1.off() && switch2.setHue(25),on,fixed_number,time == 1800,FD,Anytime,17-20,Scheduled-time (e.g. |  brew coffee at 7 am),"[[18], [], [], [], [18], [18], [], [], [18], [], [], [], [18], [18], [], [18], [], [], [], [], [], [18], [18], [18], [], [18], [], []]"
8,63,r-xbxggatwfo82tdz,1,,Jenkins Notifier,"odorLevel detected by device ""Gas Sensor"" is high",setAlarmMode=both,Gas Sensor,odorLevel,t_carbonMonoxideDetector1.carbonMonoxideState.getValue() == 'detected',Security Alarm,alarm,alarm1.strobe(),greater,both,,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [5, 12], [], [], [], [], [], [], [], [], [], [], [], [], [3, 6, 10, 11, 15], [], [], [], [], [], [], [], [], [3], [], [8, 22, 23]]"
8,64,r-xbxggatwfo82tdz,1,,PlantLink Connector,"odorLevel detected by device ""Gas Sensor"" is low",setAlarmMode=off,Gas Sensor,odorLevel,t_carbonMonoxideDetector1.carbonMonoxideState.getValue() == 'clear',Security Alarm,alarm,alarm1.off(),lesser,off,,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
8,65,r-xbxggatwfo82tdz,0,Humidity Alert!,Let There Be Dark!,"humidity detected by device ""Humidity Sensor"" is high ",set mode of device Air Conditioner to dryClean mode,Humidity Sensor,humidity,t_relativeHumidityMeasurement1.humidity > 60,Air Conditioner,thermostat,thermostat1.auto(),greater,auto,,FD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[15, 19, 23], [], [0, 2, 8, 20], [3, 4, 6, 22], [], [], [], [], [2, 17], [], [], [], [], [], [], [8, 17, 22], [], [9, 18], [17, 20, 23], [5, 11, 17], [], [4, 19, 22], [10, 18], [4, 7, 23], [0, 4, 11, 21], [], [6, 8, 18, 21], []]"
8,66,r-xbxggatwfo82tdz,1,,Smart Alarm,value of smoke is detected by device Smoke Detector and value of temperature is above FireThreshold,trigger alarm,Smoke Detector,smoke,t_smokeDetector1.smoke == 'detected' && t_smokeDetector1.currentTemperature.toInteger() > 80,Security Alarm,alarm,alarm1.strobe(),detected,both,,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [], [1, 2, 17, 21], [2, 3, 6, 11, 19], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
8,67,r-xbxggatwfo82tdz,1,,Shabbat and Holiday Modes,value of tamper by device Smoke Detector is tampered,send sms alerting to check,Smoke Detector,smoke,t_smokeDetector1.tamper == 'detected',Phone,sms,notify_phone()(),detected,notify,,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[1, 16], [], [], [], [18], [], [], [], [4, 7, 8, 13, 20], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
8,68,r-xbxggatwfo82tdz,1,,Enhanced Auto Lock Door,value of battery by device Smoke Detector is low,send sms alerting to change,Smoke Detector,battery,t_smokeDetector1.battery < 10,Phone,sms,notify_phone(),lesser,notify,,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[3, 11, 22], [], [], [], [], [15, 19], [], [], [], [], [], [], [], [], [], [], [], [], [1], [], [], [], [], [], [], [], [], []]"
8,69,r-xbxggatwfo82tdz,1,,Door State to Color Light (Hue Bulb),value of airQuality by device Air Purifier is low,set the device to switch on,Air Purifier,airQuality,t_airQualitySensor1.airQuality > 5,Air Purifier,switch,switch1.on(),lesser,on,,FD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[2, 13, 14], [6, 15, 18, 22], [7, 13, 14, 19], [9, 17], [4, 7, 9, 14, 17], [0, 1, 2, 8, 19], [], [12, 14], [], [], [12], [6, 12, 17, 23], [5, 20], [], [], [], [], [], [11, 12, 16, 20, 21], [3, 13], [1, 13, 16], [], [], [4], [3, 12, 21], [6, 19], [], [0, 14]]"
8,70,r-xbxggatwfo82tdz,0,Humidity Alert!,Door Jammed Notification,value of airQuality by device Air Purifier is high,set the device to switch off,Air Purifier,airQuality,t_airQualitySensor1.airQuality < 5,Air Purifier,switch,switch1.off(),greater,off,,FD,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [3], [0, 8, 21], [5, 18, 20], [], [0, 4, 7, 23], [9, 11, 12, 19, 20], [1, 10, 13, 14, 20], [], [], [], [], [3, 13, 22], [], [], [6, 17, 19], [], [20], [], [], [], [1, 3, 6, 9, 22], [1, 2, 4, 14, 22], [18], [11, 21], [], [], [3]]"
9,71,r-ttvbkmxo7atmgm5,0,It's Too Cold,WeatherBug Home,temperatue <= 70 AND (time between 9 and 5 OR time between 9pm and 7 am),setLevel 75 degrees,Temperature Sensor,temperature,t_temperatureMeasurement1.currentTemperature.toInteger() <= 70,Thermostat,thermostat,switchLevel1.setLevel(75),lesser,auto,&& ((time >= 900 && time <= 1700) || (time >= 2100 && time < 700)),FD,Anytime,"6-11,11-13,13-17",Executed at random (e.g. |  every time I enter the room),"[[], [], [6, 11, 13], [8, 12, 15], [10, 11, 15], [6, 12, 16], [10, 12, 14], [], [], [7, 12, 14], [7, 12, 15], [8, 12, 14], [9, 12, 16], [], [9, 12, 13], [], [], [8, 12, 16], [7, 11, 16], [8, 12, 14], [], [8, 12, 13], [10, 12, 14], [10, 11, 13], [10, 11, 15], [8, 11, 14], [], []]"
9,72,r-ttvbkmxo7atmgm5,0,Smart turn it on,Power Allowance,time == 7am and daye between Monday and Friday,coffeeMaker switch ON and Bedroom lightbulb switch ON and setRobotCleanerCleaningMode Auto,Morning,switch,t_switch1.switchState.getValue() == 'on',Coffee Maker && Light Bulb && Robot Vacuum,switch && switch && switch,switch1.on() && switch2.on() && switch3.on(),on,on-on-on,time == 700 && (time.day in weekday),FW,Weekday,"11,Jun",Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [], [], [], [], [], [7], [], [], [], [], [], [7], [7], [], [], [], [], [], [], [7], [], [], [], [], [], [7], []]"
10,73,r-2v8emucerybqm6e,0,Ridiculously Automated Garage Door,Left It Open,threeAxis is within 100 feet of the house,open garage door,Presence Sensor,presence,t_presenceSensor1.presenceState.getValue() == 'present',Garage Door Opener,door,doorControl1.open(),present,open,,FD,Anytime,"6-11,13-17,17-20",Executed at random (e.g. |  every time I enter the room),"[[8, 15, 19], [8, 16, 17], [9, 13, 18], [6, 14, 18], [], [8, 13, 18], [], [], [9, 16, 19], [], [8, 13, 18], [], [], [7, 13, 18], [7, 14, 18], [], [9, 16, 19], [7, 15, 19], [], [6, 15, 19], [], [6, 13, 19], [8, 13, 17], [7, 16, 18], [], [], [8, 14, 18], [10, 13, 19]]"
10,74,r-2v8emucerybqm6e,1,,Yoics (Connect),shock detected,trigger security alarm,Glass Break Detector,shock,t_shockSensor1.shock == 'detected',Security Alarm,alarm,alarm1.strobe(),detected,both,,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[], [], [3, 10, 17], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [12, 19], [], [], [], [], [], [0, 4, 15]]"
10,75,r-2v8emucerybqm6e,1,,Bose® SoundTouch® Control,motion sensor detects motion outside,security camera switch on,Motion Sensor,motion,t_motionSensor1.motion == 'active',Security Camera,switch,switch1.on(),active,on,,FW,Anytime,"6-11,20-6",Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [2, 9, 23], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
10,76,r-2v8emucerybqm6e,1,,Garage Door Monitor,odorLevel detector returns high values,setAlarmMode(both),Gas Sensor,odorLevel,t_odorSensor1.odorLevel > 5,Security Alarm,alarm,alarm1.strobe(),greater,both,,NS,Anytime,anytime,Executed at random (e.g. |  every time I enter the room),"[[3, 4, 9], [], [], [11, 15, 17], [], [], [3, 17], [], [5, 13, 16], [0, 8, 9], [], [], [2, 17, 18, 20, 23], [], [], [], [], [], [], [], [], [5, 6, 7, 17, 21], [], [], [], [], [1, 3, 16], []]"
10,77,r-2v8emucerybqm6e,0,Light Follows Me,Wattvision Manager,device enters room with light AND light is already off,light switch on,Light Bulb && Presence Sensor,switch && presence,t_presenceSensor1.presenceState.getValue() == 'present' && t_switch1.switch== 'off',Light Bulb,switch,switch1.on(),off-present,on,,MD,Anytime,"6-11,13-17,17-20,20-6",Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [1, 3, 9, 13, 16, 19], [1, 2, 7, 15, 19], [], [], [], [], [0, 7, 9, 14, 15, 17, 19], [], [], [], [], [], [], [], [2, 8, 14, 17, 19], [0, 6, 8, 15, 19], [], [], [5, 7, 14, 17, 19], [], [4, 9, 10, 14, 16, 18, 20], []]"
10,78,r-2v8emucerybqm6e,0,Light Follows Me,SmartWeather Station Controller,device exits room with light AND light is already on,light switch off,Light Bulb && Presence Sensor,switch && presence,t_presenceSensor1.presenceState.getValue() == 'not present'&& t_switch1.switch== 'on',Light Bulb,switch,switch1.off(),on-not_present,off,,MD,Anytime,"6-11,13-17,17-20,20-6",Executed at random (e.g. |  every time I enter the room),"[[], [2, 5, 9, 10, 14, 17, 19], [], [], [5, 6, 14, 18, 19, 21], [], [9, 14, 16, 17, 18, 22], [], [], [6, 10, 14, 17, 19, 20], [5, 8, 13, 19, 23], [0, 8, 10, 14, 15, 19], [], [7, 10, 15, 16, 18, 20], [], [0, 4, 9, 14, 18], [], [6, 7, 13, 19, 20], [], [], [1, 9, 15, 18, 19], [8, 16, 17, 18, 23], [2, 7, 9, 13, 15, 18, 21], [], [], [], [3, 7, 16, 18, 22], [2, 7, 9, 15, 17]]"
11,79,r-vzxagf1fnmxrxpf,0,Beacon Control,Elder Care: Daily Routine,LivingRoom_BeaconDevice presence equals true,Switch on Smart TV,Presence Sensor,presence,t_presenceSensor1.presenceState.getValue() == 'present',Smart TV,switch,switch1.on(),present,on,,FD,Weekend,17-20,Executed at random (e.g. |  every time I enter the room),"[[], [], [18], [19], [], [17, 19], [19], [17, 18], [], [], [17, 18], [], [], [17, 18, 19], [19], [], [18, 19], [17, 18], [17, 19], [17, 18], [18, 19], [], [19], [17], [18, 19], [17, 19], [19], []]"
11,80,r-vzxagf1fnmxrxpf,0,Beacon Control,Keep Me Cozy II,LivingRoom_BeaconDevice presence equal false,Switch off Smart TV,Presence Sensor,presence,t_presenceSensor1.presenceState.getValue() == 'not present',Smart TV,switch,switch1.off(),not_present,off,,FD,Weekend,17-20,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [19], [], [17, 18, 19], [], [19], [17], [], [18, 19], [17, 18, 19], [18, 19], [17, 18, 19], [18, 19], [], [19], [], [17, 18, 19], [], [17, 18], [], [], [17, 18, 19], [], [], [18], [17, 19]]"
11,81,r-vzxagf1fnmxrxpf,0,Beacon Control,Lock It When I Leave,Kitchen_BeaconDevice presence equals true,Switch on Audio Player through kitchen speakers,Presence Sensor,presence,t_presenceSensor1.presenceState.getValue() == 'present',Audio Player,switch,switch1.on(),present,on,,MD,Anytime,"6-11,17-20,20-6",Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [2, 5, 6, 8, 10, 19, 21], [], [], [2, 5, 8, 17, 18, 23], [], [2, 10, 18, 20], [6, 7, 17, 19, 23], [], [7, 17, 20], [0, 8, 10, 18, 19], [0, 2, 6, 10, 17, 18, 23], [], [], [1, 6, 9, 17, 18, 19, 20], [], [], [], [9, 18, 20, 23], [], [], [], [], [], []]"
11,82,r-vzxagf1fnmxrxpf,0,Beacon Control,IFTTT,Kitchen_BeaconDevice presence equals true,Switch off Audio Player through kitchen speakers,Presence Sensor,presence,t_presenceSensor1.presenceState.getValue() == 'not present',Audio Player,switch,switch1.off(),not_present,off,,MD,Anytime,"6-11,17-20,20-6",Executed at random (e.g. |  every time I enter the room),"[[7, 10, 17, 18, 19, 20], [4, 10, 18, 19, 22, 23], [], [4, 8, 17, 18], [], [], [], [], [], [3, 6, 7, 17], [], [], [10, 17, 19, 22], [], [], [], [5, 8, 9, 10, 18, 19, 21], [1, 2, 7, 9, 18, 19, 23], [2, 6, 7, 9, 18, 19], [5, 8, 10, 17, 18, 22], [], [], [], [6, 7, 10, 17, 18, 21, 22, 23], [], [], [], []]"
11,83,r-vzxagf1fnmxrxpf,0,Beacon Control,Tesla (Connect),If Home BeaconDevice presence equals true,Set Mode to Home,Presence Sensor,presence,t_presenceSensor1.presenceState.getValue() == 'present',null,locationMode,location.setMode('home'),present,home,,FD,Anytime,17-20,Executed at random (e.g. |  every time I enter the room),"[[17, 19], [], [17, 18], [17, 19], [], [18, 19], [18], [17, 18], [17, 19], [18], [], [], [], [], [17, 18, 19], [17, 18], [17, 19], [], [17, 18], [17, 18, 19], [], [18, 19], [17, 19], [17, 19], [17, 19], [], [], [17, 18, 19]]"
11,84,r-vzxagf1fnmxrxpf,0,Make it So,Notify Me When,If Mode equals Home,Set Thermostat coolingSetPoint to 70 |  switch off Robot Vacuum,null,locationMode,location.mode == 'home',Robot Vacuum && Thermostat,switch && thermostat,thermostat1.setCoolingSetpoint(70) && switch1.off(),home,off-cool,,FD,Anytime,17-20,Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [19], [17, 18, 19], [18, 19], [17], [], [], [], [17, 18, 19], [], [18, 19], [], [], [], [], [18, 19], [], [], [17], [], [17, 18], [], []]"
11,85,r-vzxagf1fnmxrxpf,1,,Step Notifier,If Home BeaconDevice presence equals false,Set Mode to Away,Presence Sensor,presence,t_presenceSensor1.presenceState.getValue() == 'not present',null,locationMode,location.setMode('away'),not_present,away,,FW,Weekday,"11,Jun",Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [7], [], [], [], [], [], [], [], []]"
11,86,r-vzxagf1fnmxrxpf,0,Keep Me Cozy,Turn On Only If I Arrive After Sunset,If Mode equals Away,Set Thermostat to coolingSetPointRange to 70-75 |  switch off Lighting Remote |  lock Door Lock |  switch on Robot Vacuum,null,locationMode,location.mode == 'away',Door Lock && Lighting Remote && Robot Vacuum && Thermostat,lock && switch && switch && thermostat,thermostat1.setCoolingSetpoint(75) && switch1.off() && lock1.lock() && switch2.on(),away,lock-off-on-cool,,FW,Weekday,"11,Jun",Executed at random (e.g. |  every time I enter the room),"[[], [], [], [], [], [], [6, 10], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
11,87,r-vzxagf1fnmxrxpf,0,Bright When Dark And/Or Bright After Sunset,Camera Power Scheduler,If Time equals sunset,Turn on Light Bulbs |  Shades/Blinds windowShade close,Light Bulb,switch,t_switch1.switchState.getValue() == 'on',Light Bulb && Shades/Blinds,switch && contact,switch1.on() && contact.closed(),on,on-close,,FW,Anytime,17-20,Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [], [], [], [], [18], [17], [], [], [], [], [], [17], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
11,88,r-vzxagf1fnmxrxpf,0,Sleepy Time,Virtual Device Creator,If Bedroom_Button pressed,Switch mode to Night,Button,button,t_button1.button == 'pushed',null,locationMode,location.setMode('Night'),pushed,night,,FW,Anytime,20-6,Manually-triggered (e.g. |  a button press),"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [1, 3, 4], [], [], [], [], [], [], [], [5]]"
11,89,r-vzxagf1fnmxrxpf,0,Keep Me Cozy,Withings Manager,If mode equal Night,Turn off all Light Bulbs |  Set Thermostat to coolingSetPoint 68,null,locationMode,location.mode == 'night',Light Bulb && Thermostat,switch && thermostat,switch1.off() && thermostat1.setCoolingSetPoint(68),on,off-cool,"time == ""night""",FW,Anytime,20-6,Manually-triggered (e.g. |  a button press),"[[], [], [], [], [], [1, 22], [], [], [], [], [], [], [4, 20], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [0, 4, 20, 21]]"
11,90,r-vzxagf1fnmxrxpf,0,Smart turn it on,Sleepy Time,If Alarm Clock hits alarm,Switch mode to Home |  Shades/Blinds windowShade open,Security Alarm,alarm,t_alarm1.alarm == 'siren',Shades/Blinds && null,contact && locationMode,location.setMode('Home') && contactSensor1.open(),siren,open-home,time == alarm_time,FW,Anytime,"11,Jun",Scheduled-time (e.g. |  brew coffee at 7 am),"[[], [], [], [], [], [], [7, 10], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [7], [6, 7, 9]]"
12,91,r-3hwfvibwxm8i4g6,0,Ridiculously Automated Garage Door,Device Tile Controller,CarAutomation(Presence) == True,GarageDoorOpener(door) = open,Presence Sensor,presence,t_presenceSensor1.presenceState.getValue() == 'present',Garage Door Opener,contact,contactSensor1.open(),present,open,,FD,Weekday,"6-11,17-20",Executed at random (e.g. |  every time I enter the room),"[[7, 17], [9, 17, 19], [], [], [7, 10, 19], [], [], [], [10, 18], [], [], [6, 19], [9, 19], [], [], [], [], [8, 10, 17], [8, 18], [8, 10, 18, 19], [6, 17], [], [], [6, 18], [7, 10, 17, 18], [], [9, 17], []]"
12,92,r-3hwfvibwxm8i4g6,0,Ridiculously Automated Garage Door,Photo Burst When...,GarageDoorOpener(rssi) == low,GarageDoorOpener(door) = close,Garage Door Opener,signalStrength,t_rssi1.rssi > 5,Garage Door Opener,contact,contactSensor1.closed(),greater,close,,FD,Weekday,"6-11,17-20",Executed at random (e.g. |  every time I enter the room),"[[10, 18, 19], [], [], [8, 10, 17, 19], [], [10, 19], [], [8, 10, 17], [6, 9, 19], [6, 17], [], [6, 18], [], [10, 18], [], [], [8, 17, 18], [10, 17], [8, 18], [], [], [9, 10, 17], [8, 9, 19], [], [6, 18], [6, 7, 19], [], [8, 17]]"
